FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,WIFI_HOLD_AT,PET_POSBL_AT,PRKPLCE_EXST_AT,MEE_SLT_AT,LAST_UPDT_DE
코드이스케이프 가로수길점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,신사동,,541-15 번지,가로수길,14,37.51883009,127.0234141,6036,서울특별시 강남구 가로수길 14,서울특별시 강남구 신사동 541-15,025417544,http://www.code-escape-garosu.com/,Y,N,Y,N,20221104
코드이스케이프 가로수길점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,신사동,,541-15 번지,가로수길,14,37.51883009,127.0234141,6036,서울특별시 강남구 가로수길 14,서울특별시 강남구 신사동 541-15,025417544,http://www.code-escape-garosu.com/,N,N,N,N,20221104
라인볼링센터 강남점,레저/체육/공원,지역체육시설,볼링장,서울특별시,강남구,역삼동,,837-36 번지,강남대로,308,37.49067116,127.0318198,6253,서울특별시 강남구 강남대로 308,서울특별시 강남구 역삼동 837-36 랜드마크타워,025554199,,Y,N,Y,N,20221104
라인볼링센터 강남점,레저/체육/공원,지역체육시설,볼링장,서울특별시,강남구,역삼동,,837-36 번지,강남대로,308,37.49067116,127.0318198,6253,서울특별시 강남구 강남대로 308,서울특별시 강남구 역삼동 837-36 랜드마크타워,025554199,,N,N,N,N,20221104
세븐클루스 강남2호점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,815 번지,강남대로,432,37.50123504,127.0266306,6129,서울특별시 강남구 강남대로 432,서울특별시 강남구 역삼동 815 점프밀라노,,http://www.sevenclues.com,Y,N,Y,N,20221104
세븐클루스 강남2호점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,815 번지,강남대로,432,37.50123504,127.0266306,6129,서울특별시 강남구 강남대로 432,서울특별시 강남구 역삼동 815 점프밀라노,,http://www.sevenclues.com,N,N,Y,N,20221104
더클루 강남점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,814-1 번지,강남대로,446,37.5023892,127.0259471,6123,서울특별시 강남구 강남대로 446,서울특별시 강남구 역삼동 814-1 한웰빌딩,025664602,http://www.theclue.co.kr,Y,N,Y,N,20221104
더클루 강남점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,814-1 번지,강남대로,446,37.5023892,127.0259471,6123,서울특별시 강남구 강남대로 446,서울특별시 강남구 역삼동 814-1 한웰빌딩,025664602,http://www.theclue.co.kr,N,N,N,N,20221104
클라이밍파크,레저/체육/공원,지역체육시설,클라이밍,서울특별시,강남구,역삼동,,808-5 번지,강남대로,468,37.50415507,127.0251449,6123,서울특별시 강남구 강남대로 468,서울특별시 강남구 역삼동 808-5 충림빌딩,025554662,http://blog.naver.com/climbingpark,Y,N,Y,N,20221104
클라이밍파크,레저/체육/공원,지역체육시설,클라이밍,서울특별시,강남구,역삼동,,808-5 번지,강남대로,468,37.50415507,127.0251449,6123,서울특별시 강남구 강남대로 468,서울특별시 강남구 역삼동 808-5 충림빌딩,025554662,http://blog.naver.com/climbingpark,N,N,N,N,20221104
