COURSE_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,NMPR_CO,EDC_CT,BASE_TIME,TIME_PER_CT,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADDR,COURSE_EDC_CRSE_CN,LAST_UPDT_DE
"슈퍼 대단한 마술 배우기 직장인, 영업, 취미, 이벤트, 모임 등",여가활동,클래스,모임/노하우/체험,30,220000,8,27500,서울특별시,강남구,논현동,서울특별시 강남구 논현동,추천- 평소에 마술을 배워보고 싶으셨던 분- 낮선 사람과의 아이스브레이킹이 두려우셨던분- 모임에서의 주목이 필요하신분- 비지니스의 인상적인 인상을 심어주는게 필요하신분- 남자- 여자- 그외비추천- 비둘기 찾으시는분- 몸 반으로 자르는거 찾으시는분- 프로마술사 (????),20221130
피아노 기초부터 자작곡 완성까지 가능한 수업,여가활동,클래스,악기,1,35000,1,35000,서울특별시,강남구,논현동,서울특별시 강남구 논현동,"피아노를 한번도 쳐보지 않으신 분들부터 프로데뷔자작곡으로 싱글앨범 발매를 원하는 분들 까지 모두 가능한 클래스입니다!대학때부터 레슨경력 10년, 기획사 트레이너, 실용음악학원 강사 출강중인 다양한 경험으로원하는 목표에 꼭 맞는 커리큘럼을 제시해드릴 수 있습니다",20221130
홈페이지형 블로그 나도만들 수 있다!,여가활동,클래스,디자인 툴,1,165000,3,55000,서울특별시,강남구,대치동,서울특별시 강남구 대치동,? 홈페이지형 블로그 디자인하기- 사업 블로그 또는 회사 블로그를 운영하시는 분들- 포트폴리오용으로 홈페이지를 제작하고 싶으신 분들- 블로그의 블자도 모르겠다.- 블로그 체험단으로 생활해보고싶다.- SNS 콘텐츠를 더욱 예쁘게 만들고싶다.- 디자인을 배워보고싶다.- 블로그 개설은 했지만 예쁘지 않아서 고민이신 분들- 블로그도 꾸며보고 블로그 마케팅에대해 간략하게 알고가고 싶으신 분들,20221130
"봄이 왔네온, 캔버스 네온사인 만들기 스무:디 강서점",여가활동,클래스,모임/노하우/체험,8,28380,2,14190,서울특별시,강남구,대치동,서울특별시 강남구 대치동,"나만의 네온사인을 만들어 보고 싶으신 분 쉽고 재밌게 원데이클래스에 참여하고 싶으신 분 친구, 연인 등과 함께 소중한 추억을 남기고 싶으신 분 세상에 둘도 없는 멋진 선물을 찾고 계시는 분 함께하는 사람들과 더욱 친밀한 시간을 갖고싶으신 분",20221130
김포/원데이 오감가득 힐링 미술 드로잉 동양화 아크릴,여가활동,클래스,취미미술,6,41800,2,20900,서울특별시,강남구,대치동,서울특별시 강남구 대치동,"그림에 흥미가 생겼는데 어떻게 시작해야할지 고민하고 있으신 분- 새로운 취미를 갖고 싶은 대학생, 직장인 분- 친구, 연인과 함께 하는 이색적인 데이트 코스가 필요하신 분- 집에 걸어 둘 인테리어 소품을 완성하고 싶으신 분- 아크릴, 동양화 등 새로운 재료를 사용해보고 싶으신 분",20221130
영어 다양한 플랫폼 리더 출신 Tiffany와 함께하는 1대1 영어,여가활동,클래스,1:1 영어,1,396000,8,49500,서울특별시,강남구,삼성1동,서울특별시 강남구 삼성1동,"영어에 대한 거부감을 줄이고 자신있게 문장을 구사하며, 한국인들이 어려워하는 포인트를 잘 잡아서 조금 더 쉽게 영어를 접할 수 있어요~!",20221130
"원데이 온라인마케터 7년차의 블로그돈벌기,카페,투잡아이템 직장다니며 돈벌기",여가활동,클래스,다양한 투잡,9,15000,1,15000,서울특별시,강남구,삼성1동,서울특별시 강남구 삼성1동,집에서 무조건 돈벌기 수익화 강의 입니다.블로그카페지식인티스토리해외구매대행재능마켓 수익화쿠팡스마트스토어1인 지식산업 광고오픈방마케팅 집에서 아이를 돌보면서할 수 있는 사업자부터 배울 수 있는 강의 입니다.현재 220명의 수강생과 함께 하고 있으며오프라인 방문지 마케팅 소책자 pdf 파일 20만원 상당보내드리고 있습니다.,20221130
1:1메이크업레슨 5주안에 끝내는 나만의 인생메이크업 찾기,여가활동,클래스,메이크업,1,385000,10,38500,서울특별시,강남구,삼성1동,서울특별시 강남구 삼성1동,"메이크업 레슨을 받아도 쉽게 따라하지 못하는 고객님본인 얼굴의 장점을 극대화하고 단점을 보완하고싶은 고객님가지고 있는 화장품을 활용하기 힘든 고객님아이메이크업이나 눈썹을 못해서 선크림만 바르시는 고객님결혼식,파티등 다양한 행사때 어떤 메이크업을 할지 고민되시는 고객님증명사진이나,프로필사진들 사진에서 이쁘게 나오고싶은 고객님",20221130
"미술랭, 5성급 호텔 셰프 소믈리에 출신 프랑스인 마튜의 와인 클래스",여가활동,클래스,커피/차/술,10,264000,8,33000,서울특별시,강남구,삼성1동,서울특별시 강남구 삼성1동,"미슐랭 출신 프랑스 정통 셰프 소믈리에에게 와인에 대해 배우고 싶으신 분들, 상류층 테이블 매너, 에티켓에 대해 배우고 싶으신 분들,프랑스어를 대화로 배우고 싶으신 분들, 열정과 마튜 선생님만 있으면 가능 합니다! 프랑스 현지와 영국 몰디브 두바이 홍콩 등 최고급 호텔에서만 있으면서 배운 노하우를 그대로 배워가세요!",20221130
"1:1 나만을 위한, 나에 의한 영어타파!!",여가활동,클래스,1:1 영어,1,220000,4,55000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"문법 개념 정리 필요하신 분-해외연수 없이 영어에 대한 두려움 없애고 싶으신 분-영어를 소통의 언어로 만나기 원하시는 분-유학/연수/해외 방문 전 입 풀고 싶으신 분-세련되고, 다양한 문장 구사를 원하시는 분스피킹작문-원어민 급이지만, 한국말도 이해하여 내가 원하는 말을 정확한 해외식 표현으로 배우고 싶으신 분-영어를 즐겁게 배우고 싶으신 분",20221130
"1:1 맞춤수업 왕초보도 영어고수가되는 ""환상""을 ""현실""로 만들어주는 ""진짜영어회화수업""",여가활동,클래스,1:1 영어,1,198000,4,49500,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,수업대상영어: 왕초보/초급/중급/고급/비즈니스/시험대비영어정복이 필요한 누구든 신청가능 합니다1회 무료상담/무료상담을 진행하고 있습니다. 부담없이 체험해 보시고 결정해 주세요,20221130
10년차 영어강사의 1:1 맞춤 영어회화-왕초보부터 중상급까지 나도 떨지않고 외국인과 자유롭게 대화할 수 있다!,여가활동,클래스,1:1 영어,1,99000,2,49500,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"(이런분들에게 수업 추천해드려요) 알파벳은 알겠으나 나는'영알못'이다 하시는 분들 어느 정도 리스닝 또는 리딩은 되는데 입이 안 떨어지는 분들 여러 가지 다양한 방법을 통해 영어를 오랫동안 배워왔으나 실력 향상이 안돼 지치신 분들 외국인만 보면 떨려서 말이 잘 안 나오거나 실수 많이 하시는 분들 오랫동안 영어 실력이 늘지 않으신 분들 원어민에게 같은 단어를 여러 번 얘기해도 못 알아 들었던 경험이 있으신 분들 문법은 잘 알겠으나 실제 상황에서 실전 영어가 부족하신 분들 한국식 문법 교육이 지겨우신 분들 내 생각을 자유자재로 표현하고 싶은 분들 즐기면서 스피킹 지속적으로 연습하고 싶으신 분들 여행/워홀/어학연수/교환학생을 생각하시는 분들 외국계 기업에서 근무를 하거나 취업 준비를 하고 계신 분들 발음 교정을 원하시는 분들 주위에서 와우! 영어 발음 왜 이렇게 좋아?! 라는 말을 듣고 싶으신 분들(이런 분들에게는 이 수업이 맞지 않아요) 성인들을 상대로 수업하고 있기 때문에 영유아, 초, 중, 고등학생 단기간에 시험 TOEIC/TOEFL/IELTS/SAT/GRE 등 점수를 올리시고 싶으신 분들 '문법' 위주 수업을 찾고 계신 분들 노력 없이 단기간에 '쉽고 놀라운' 결과를 원하시는 분들저는 개인적으로 모든 일에 ""SHORT CUT"" 지름길은 없다고 생각합니다 ;;",20221130
7월오픈짧고 굵게 합격하기! 고퀄 1:1 영어인터뷰/Resume/Cover Letter 컨설팅,여가활동,클래스,1:1 영어,1,396000,6,66000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"(영어 인터뷰 컨설팅 과정)- 당장 영어 인터뷰 계획이 잡혔는데 어디서부터 어떻게 준비 해야 할지 단기간에 도움이 필요하신 분들- 한국말로 하는 인터뷰처럼 내가 원하는 말을 영어 인터뷰 에서도 유창하게 하시고 싶으신 분들- 앞으로 영어 인터뷰가 필요할 것 같아 미리 연습하시고 싶으신 분들- 지나친 고액 인터뷰 준비 과외, 학원으로 별로 도움을 받지 못하신 분들(Resume + Cover Letter 컨설팅 과정)- Resume/Cover Letter가 필요한데 어떻게 써야할지 도움이 필요하신 분들- Resume/Cover Letter 업그레이드를 통해 서류 합격 가능성을 높히고 싶으신 분들여러분들 모두 제가 짧고 굵게 끝내드립니다!",20221130
