NAME,TYPE,LOCATION,TAG,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,LAT,LON
월드헬스클럽,헬스/휘트니스,서울특별시 중구 충무로2가 퇴계로,스트레스 해소; 감정 자극,,,,,,,,,,,,
양재남여헬스,헬스/휘트니스,서울특별시 강남구 도곡동 남부순환로351길,스트레스 해소; 감정 자극,,,,,,,,,,,,
우성헬스,헬스/휘트니스,서울특별시 동대문구 신설동 왕산로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5758417,127.0236765
라이브헬스클럽,헬스/휘트니스,서울특별시 노원구 상계동 동일로,스트레스 해소; 감정 자극,,,,,,,,,,,,
중앙24시헬스,헬스/휘트니스,서울특별시 서대문구 북아현동 북아현로,스트레스 해소; 감정 자극,,,,,,,,,,,37.563293,126.9547724
원헬스클럽,헬스/휘트니스,서울특별시 강서구 화곡동 월정로30길,스트레스 해소; 감정 자극,,,,,,,,,,,,
유토피아헬스,헬스/휘트니스,서울특별시 강남구 역삼동 테헤란로14길,스트레스 해소; 감정 자극,,,,,,,,,,,,
삼성헬스,헬스/휘트니스,서울특별시 광진구 중곡동 천호대로,스트레스 해소; 감정 자극,,,,,,,,,,,,
헬스토피아,헬스/휘트니스,서울특별시 구로구 오류동 오류로8길,스트레스 해소; 감정 자극,,,,,,,,,,,37.4921777,126.8433946
휘트니스센터,헬스/휘트니스,서울특별시 중구 충무로1가 명동8나길,스트레스 해소; 감정 자극,,,,,,,,,,,37.5612962,126.9832412
영파워헬스클럽,헬스/휘트니스,서울특별시 강남구 역삼동 논현로94길,스트레스 해소; 감정 자극,,,,,,,,,,,,
동방헬스,헬스/휘트니스,서울특별시 성북구 장위동 장위로,스트레스 해소; 감정 자극,,,,,,,,,,,37.6137685,127.0517249
에너지플러스,헬스/휘트니스,서울특별시 강남구 청담동 선릉로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5231877,127.0391653
동방헬스센터,헬스/휘트니스,서울특별시 관악구 신림동 호암로26길,스트레스 해소; 감정 자극,,,,,,,,,,,,
진여성전용휘트니스,헬스/휘트니스,서울특별시 마포구 합정동 월드컵로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5494977,126.9132614
헬스아카데미,헬스/휘트니스,서울특별시 도봉구 방학동 방학로,스트레스 해소; 감정 자극,,,,,,,,,,,,
철인남녀헬스,헬스/휘트니스,서울특별시 서대문구 남가좌동 수색로,스트레스 해소; 감정 자극,,,,,,,,,,,,
신사헬스클럽,헬스/휘트니스,서울특별시 강남구 신사동 강남대로152길,스트레스 해소; 감정 자극,,,,,,,,,,,37.5187492,127.0241275
그린헬스,헬스/휘트니스,서울특별시 중랑구 중화동 중랑역로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5943804,127.0771237
우진헬스클럽,헬스/휘트니스,서울특별시 종로구 종로6가 종로41길,스트레스 해소; 감정 자극,,,,,,,,,,,37.572777,127.0066709
